Frequency (Hz)	Level (dB)
575.340271	-47.689133
576.013184	-47.980183
576.686096	-47.272839
577.359009	-46.801945
578.031921	-46.334049
578.704834	-45.809704
579.377747	-45.702110
580.050659	-45.217567
580.723572	-44.640568
581.396484	-43.455441
582.069397	-42.702499
582.742310	-42.084774
583.415222	-40.718742
584.088135	-38.708385
584.761047	-36.647411
585.433960	-35.027401
586.106873	-33.185276
586.779785	-30.193462
587.452698	-28.389870
588.125610	-29.741419
588.798523	-32.150944
589.471436	-33.767994
590.144348	-36.128139
590.817261	-37.920898
591.490173	-38.975666
592.163086	-40.547279
592.835999	-41.458076
593.508911	-42.047413
594.181824	-42.402546
594.854736	-42.930222
595.527649	-43.764351
596.200562	-45.040806
596.873474	-46.460163
597.546387	-46.993126
598.219299	-48.210709
598.892212	-49.441776
599.565125	-49.308319
600.238037	-49.538452
600.910950	-50.097664
601.583862	-50.754505
602.256775	-51.033440
602.929688	-51.142544
603.602600	-51.397583
604.275513	-51.744686
604.948425	-51.899220
605.621338	-52.033005
606.294250	-51.644463
606.967163	-51.396465
607.640076	-51.182468
608.312988	-50.959332
608.985901	-51.575108
609.658813	-51.748455
610.331726	-51.890171
611.004639	-51.327831
611.677551	-49.723789
612.350464	-48.691673
613.023376	-48.295589
613.696289	-46.651817
614.369202	-43.802292
615.042114	-40.872879
615.715027	-38.968716
616.387939	-37.974468
617.060852	-37.498756
617.733765	-37.067940
618.406677	-36.515381
619.079590	-35.831680
619.752502	-35.601158
620.425415	-36.224693
621.098328	-37.451885
621.771240	-38.316357
622.444153	-38.857792
623.117065	-38.886585
623.789978	-39.250542
624.462891	-40.514061
625.135803	-42.224239
625.808716	-45.169930
626.481628	-47.635319
627.154541	-48.287289
627.827454	-48.215721
628.500366	-48.614384
629.173279	-49.616245
629.846191	-51.156334
630.519104	-52.210766
631.192017	-53.097321
631.864929	-53.678432
632.537842	-54.314362
633.210754	-54.851036
633.883667	-55.357677
634.556580	-55.500980
635.229492	-55.532322
635.902405	-55.619484
636.575317	-55.571545
637.248230	-55.977016
637.921143	-55.686657
638.594055	-55.640411
639.266968	-55.862751
639.939880	-55.195297
640.612793	-55.174839
641.285706	-54.862278
641.958618	-54.072834
642.631531	-53.940403
643.304443	-54.464928
643.977356	-53.963955
644.650269	-53.693623
645.323181	-53.177147
645.996094	-52.939278
646.669006	-52.305595
647.341919	-51.848183
648.014832	-51.039787
648.687744	-50.537342
649.360657	-50.240555
650.033569	-49.692932
650.706482	-48.167606
651.379395	-47.657955
652.052307	-47.747314
652.725220	-46.979366
653.398132	-45.234066
654.071045	-43.650269
654.743958	-42.962795
655.416870	-41.870667
656.089783	-40.054356
656.762695	-38.223667
657.435608	-35.832371
658.108521	-33.331551
658.781433	-32.329956
659.454346	-29.971540
660.127258	-30.110104
660.800171	-32.796246
661.473083	-34.547974
662.145996	-36.148701
662.818909	-38.328484
663.491821	-40.040890
664.164734	-41.385235
664.837646	-42.663898
665.510559	-42.884197
666.183472	-43.414883
666.856384	-43.718884
667.529297	-44.063965
668.202209	-44.833656
668.875122	-46.131790
669.548035	-47.331108
670.220947	-48.098557
670.893860	-49.104076
671.566772	-49.514179
672.239685	-49.871391
672.912598	-51.381989
673.585510	-52.136959
674.258423	-52.727360
674.931335	-53.008137
675.604248	-52.269043
676.277161	-52.056835
676.950073	-52.242783
677.622986	-51.623085
678.295898	-51.412361
678.968811	-51.699242
679.641724	-52.130322
680.314636	-52.175991
680.987549	-51.872974
681.660461	-50.843597
682.333374	-49.339565
683.006287	-47.652195
683.679199	-46.376156
684.352112	-45.792255
685.025024	-46.291943
685.697937	-47.274929
686.370850	-48.376900
687.043762	-48.647243
687.716675	-48.545425
688.389587	-48.778416
689.062500	-49.941040
689.735413	-52.077465
690.408325	-54.235809
691.081238	-54.985878
691.754150	-55.508350
692.427063	-56.096058
693.099976	-56.169823
693.772888	-56.198792
694.445801	-56.629642
695.118713	-57.448925
695.791626	-57.964329
696.464539	-58.523155
697.137451	-59.323818
697.810364	-59.477978
698.483276	-59.426273
699.156189	-59.617329
699.829102	-59.852722
700.502014	-59.319122
701.174927	-59.566086
701.847839	-59.683601
702.520752	-59.528980
703.193665	-59.585239
703.866577	-59.426353
704.539490	-59.407948
705.212402	-59.505615
705.885315	-59.235226
706.558228	-59.055653
707.231140	-59.091187
707.904053	-59.238178
708.576965	-59.000237
709.249878	-58.918396
709.922791	-58.450253
710.595703	-58.197395
711.268616	-58.145706
711.941528	-58.140182
712.614441	-57.898331
713.287354	-57.735458
713.960266	-57.641869
714.633179	-57.370358
715.306091	-57.416161
715.979004	-57.043404
716.651917	-56.718380
717.324829	-56.424484
717.997742	-55.653580
718.670654	-55.581665
719.343567	-55.415245
720.016479	-54.923527
720.689392	-54.154709
721.362305	-53.943226
722.035217	-53.642120
722.708130	-51.838505
723.381042	-50.140278
724.053955	-49.960110
724.726868	-49.497002
725.399780	-49.322834
726.072693	-48.707489
726.745605	-47.599072
727.418518	-46.560154
728.091431	-46.489777
728.764343	-46.706394
729.437256	-46.455273
730.110168	-45.814461
730.783081	-44.827244
731.455994	-44.010918
732.128906	-42.591606
732.801819	-41.661640
733.474731	-41.827446
734.147644	-41.715378
734.820557	-40.827633
735.493469	-40.024033
736.166382	-40.076351
736.839294	-39.089310
737.512207	-37.598503
738.185120	-36.114990
738.858032	-35.057674
739.530945	-34.241421
740.203857	-34.523129
740.876770	-34.677158
741.549683	-34.612587
742.222595	-34.006554
742.895508	-32.530392
743.568420	-32.051186
744.241333	-32.388885
744.914246	-33.352993
745.587158	-34.534603
746.260071	-35.534489
746.932983	-35.997406
747.605896	-35.426525
748.278809	-34.794106
748.951721	-34.379856
749.624634	-34.907146
750.297546	-35.901718
750.970459	-36.842735
751.643372	-38.518726
752.316284	-40.742893
752.989197	-42.326462
753.662109	-43.913719
754.335022	-45.566612
755.007935	-46.474365
755.680847	-47.225513
756.353760	-48.558491
757.026672	-49.478951
757.699585	-50.292057
758.372498	-51.344009
759.045410	-51.229939
759.718323	-51.282681
760.391235	-51.861320
761.064148	-51.890816
761.737061	-52.302296
762.409973	-53.322029
763.082886	-52.744064
763.755798	-52.079975
764.428711	-52.073406
765.101624	-52.270908
765.774536	-51.893349
766.447449	-49.101498
767.120361	-46.785946
767.793274	-45.523914
768.466187	-45.354359
769.139099	-46.153023
769.812012	-46.400013
770.484924	-45.896523
771.157837	-45.437450
771.830750	-45.652016
772.503662	-45.960537
773.176575	-46.278645
773.849487	-46.541710
774.522400	-47.142891
775.195313	-49.013863
775.868225	-50.325321
776.541138	-49.697632
777.214050	-48.962696
777.886963	-49.428200
778.559875	-50.423985
779.232788	-51.189590
779.905701	-51.885441
780.578613	-52.126694
781.251526	-52.206444
781.924438	-51.579147
782.597351	-51.051952
783.270264	-51.366993
783.943176	-52.173008
784.616089	-52.985569
785.289001	-53.021069
785.961914	-52.836636
786.634827	-52.716377
787.307739	-52.589989
787.980652	-52.423183
788.653564	-52.317207
789.326477	-53.300892
789.999390	-55.120300
790.672302	-56.763268
791.345215	-57.198647
792.018127	-56.908230
792.691040	-57.108826
793.363953	-58.015934
794.036865	-58.873028
794.709778	-59.342911
795.382690	-60.335190
796.055603	-61.286766
796.728516	-61.602402
797.401428	-62.296295
798.074341	-62.912701
798.747253	-62.260735
799.420166	-62.499424
800.093079	-62.881161
800.765991	-62.205688
801.438904	-62.114391
802.111816	-62.593719
802.784729	-62.066418
803.457642	-61.753414
804.130554	-61.719837
804.803467	-60.904224
805.476379	-61.080860
806.149292	-61.584972
806.822205	-61.068913
807.495117	-60.397202
808.168030	-60.017616
808.840942	-59.649765
809.513855	-59.418907
810.186768	-59.454826
810.859680	-59.270832
811.532593	-58.817654
812.205505	-58.322079
812.878418	-57.759155
813.551331	-56.867203
814.224243	-56.852043
814.897156	-57.122803
815.570068	-57.659698
816.242981	-56.696007
816.915894	-55.726013
817.588806	-56.544205
818.261719	-57.111732
818.934631	-56.338619
819.607544	-54.331879
820.280457	-51.409061
820.953369	-47.250687
821.626282	-45.745472
822.299194	-42.236298
822.972107	-40.923492
823.645020	-43.912037
824.317932	-47.703438
824.990845	-49.238754
825.663757	-50.131084
826.336670	-51.615826
827.009583	-53.470898
827.682495	-53.693268
828.355408	-53.885250
829.028320	-54.163261
829.701233	-54.251595
830.374146	-53.666504
831.047058	-53.243576
831.719971	-53.618397
832.392883	-54.312077
833.065796	-55.673218
833.738708	-56.346855
834.411621	-56.322739
835.084534	-56.365177
835.757446	-56.576656
836.430359	-57.315769
837.103271	-58.458866
837.776184	-58.762920
838.449097	-58.383514
839.122009	-58.215450
839.794922	-58.194946
840.467834	-59.107204
841.140747	-60.433372
841.813660	-61.206139
842.486572	-61.526497
843.159485	-61.781174
843.832397	-61.648777
844.505310	-61.858295
845.178223	-62.456944
845.851135	-62.099056
846.524048	-62.209923
847.196960	-62.411137
847.869873	-61.988457
848.542786	-61.934956
849.215698	-61.878853
849.888611	-61.320583
850.561523	-61.437607
